0,1,2,3,4
1,angel_of_the_north,54.9141,-1.58949,http://en.wikipedia.org/wiki/Angel_of_the_North
2,big_ben,51.5006,-0.124653,http://en.wikipedia.org/wiki/Big_Ben
3,hearst_castle,35.6852,-121.1666,http://en.wikipedia.org/wiki/Hearst_Castle
4,la_madeleine,48.87,2.324167,"http://en.wikipedia.org/wiki/La_Madeleine,_Paris"
5,pont_alexandre_iii,48.863611,2.313611,http://en.wikipedia.org/wiki/Pont_Alexandre_III
6,neues_museum,52.520556,13.397778,http://en.wikipedia.org/wiki/Neues_Museum
7,montezuma_castle,34.613056,-111.84,http://en.wikipedia.org/wiki/Montezuma_Castle_National_Monument
8,cn_tower,43.6426,-79.3871,http://en.wikipedia.org/wiki/CN_Tower
9,acropolis_athens,37.971421,23.726166,http://en.wikipedia.org/wiki/Acropolis_of_Athens
10,agra_fort,27.179542,78.021101,http://en.wikipedia.org/wiki/Agra_Fort
11,albert_memorial,51.5025,-0.177778,http://en.wikipedia.org/wiki/Albert_Memorial
12,altes_museum,52.519444,13.398333,http://en.wikipedia.org/wiki/Altes_Museum
13,amiens_cathedral,49.895,2.302222,http://en.wikipedia.org/wiki/Amiens_Cathedral
14,angkor_wat,13.4125,103.866667,http://en.wikipedia.org/wiki/Angkor_Wat
15,ara_pacis,41.906418,12.475513,http://en.wikipedia.org/wiki/Ara_Pacis
16,arc_de_triomphe,48.8738,2.295,http://en.wikipedia.org/wiki/Arc_de_Triomphe
17,aztec_ruins,36.835837,-107.998124,http://en.wikipedia.org/wiki/Aztec_Ruins_National_Monument
18,berlin_cathedral,52.51967,13.401111,http://en.wikipedia.org/wiki/Berlin_Cathedral
19,bok_tower_gardens,27.935,-81.576944,http://en.wikipedia.org/wiki/Bok_Tower_Gardens
20,brandenburg_gate,52.516272,13.377722,http://en.wikipedia.org/wiki/Brandenburg_Gate
21,cabrillo,32.673056,-117.238611,http://en.wikipedia.org/wiki/Cabrillo_National_Monument
22,casa_batllo,41.391667,2.165,http://en.wikipedia.org/wiki/Casa_Batll%C3%B3
23,casa_rosada,-34.608056,-58.370278,http://en.wikipedia.org/wiki/Casa_Rosada
24,castillo_de_san_marcos,29.897778,-81.311389,http://en.wikipedia.org/wiki/Castillo_de_San_Marcos
25,chartres_cathedral,48.447222,1.487778,http://en.wikipedia.org/wiki/Chartres_Cathedral
26,chichen_itza,20.6829,-88.56865,http://en.wikipedia.org/wiki/Chichen_Itza
27,christ_the_redeemer_rio,-22.951667,-43.210833,http://en.wikipedia.org/wiki/Christ_the_Redeemer_%28statue%29
28,civic_center_san_francisco,37.779167,-122.415833,"http://en.wikipedia.org/wiki/Civic_Center,_San_Francisco,_California"
29,cologne_cathedral,50.941111,6.957222,http://en.wikipedia.org/wiki/Cologne_Cathedral
30,colosseum,41.89018,12.492313,http://en.wikipedia.org/wiki/Colosseum
